MANDT,VBELN,WADAT,LFUHR,ERDAT,ERNAM
SC1,50396ac4-d048-428d-835b-017afcad5244,2013-01-25 03:22:14,2013-02-01 09:48:47,2012-12-31 14:42:09,Hannibal Lecter
SC1,5f606507-d6c7-4cf5-987c-871d7cb715b9,2017-05-17 15:42:01,2017-05-17 15:42:01,2017-04-23 21:14:47,Ellen Ripley
SC1,b77ce315-a68a-4200-ae97-d79a4f9cad46,2018-06-15 23:34:10,2018-06-15 23:34:10,2018-05-31 14:03:39,Ferris Bueller
SC1,04ec0646-d697-46d8-8f78-bb13c3a54ccd,2015-04-16 20:51:23,2015-04-16 20:51:23,2015-03-27 21:41:15,Dorothy Gale
SC1,1c45b224-1285-4328-b421-6ab8b23a85ee,2014-06-02 19:11:05,2014-06-02 19:11:05,2014-05-29 13:18:41,Ferris Bueller
SC1,53e4ffbd-0471-4dd1-8af7-3cb9cbb2346a,2010-03-19 11:41:53,2010-03-25 19:09:35,2010-03-14 02:57:54,Michael Corleone
SC1,5b6825b0-f540-49bf-aa4a-4acc09a276a4,2019-10-30 21:40:52,2019-10-30 21:40:52,2019-10-13 19:30:20,Jon Snow
SC1,0d7618da-0b8c-40c4-a459-44e0970b4bba,2014-03-27 02:53:42,2014-03-27 02:53:42,2014-02-26 18:14:10,Travis Bickle
SC1,4a4b5ec1-5672-4813-8834-b87876b1072b,2011-05-05 20:03:00,2011-05-05 20:03:00,2011-04-23 14:45:48,Jason Bourne
SC1,c678f9bc-33ae-4b80-9781-75a4d44b2571,2018-07-09 02:45:41,2018-07-09 02:45:41,2018-06-28 14:36:57,James Bond
SC1,91a10767-34ef-4dbd-9097-0fc379316bd7,2013-07-24 05:41:11,2013-07-24 05:41:11,2013-07-01 18:35:10,John Wick
SC1,6a4d5361-7145-4f03-a5c8-5d0044ae4768,2013-03-24 12:27:41,2013-03-24 12:27:41,2013-02-21 23:32:13,Vito Corleone
SC1,2cacb18b-94ed-4b90-b447-18107d3bd61c,2016-09-07 07:37:00,2016-09-07 07:37:00,2016-08-08 00:34:20,Frodo Baggins
SC1,0883d8ef-9def-4652-8655-55180a96085a,2016-12-15 06:24:36,2016-12-15 06:24:36,2016-11-21 00:09:23,Frodo Baggins
SC1,c8244273-b492-4c02-8972-4893ba5391d9,2012-02-25 21:51:37,2012-02-25 21:51:37,2012-02-23 10:44:06,John Wick
SC1,bf3b77ca-2ed6-417f-99d6-9141caa4bee8,2019-03-26 01:36:54,2019-03-26 01:36:54,2019-03-01 03:01:36,Holly Golightly
SC1,eb5115f7-0d88-482b-bb38-8b6d095d2451,2015-03-29 01:54:41,2015-03-29 01:54:41,2015-03-17 20:30:25,Vito Corleone
SC1,ab92d704-cf43-42b2-979d-0a8dd2a2f2ff,2011-12-27 20:54:05,2012-01-03 12:55:48,2011-12-09 08:02:25,Ellen Ripley
SC1,c845d0d6-15a0-4c0d-b7b9-d093712d4b2e,2015-03-07 05:44:16,2015-03-07 05:44:16,2015-03-01 20:27:19,Robert Axelrod
SC1,7f1def95-0cc6-41ca-95eb-068b17201a3a,2015-12-20 03:09:36,2015-12-27 11:35:03,2015-11-22 22:09:33,Indiana Jones
SC1,1ff3b8df-8e15-44bc-a2f1-39e092ec83be,2012-10-18 13:16:24,2012-10-21 17:34:51,2012-10-11 17:49:47,John Wick
SC1,bb06714e-1433-4f78-b063-cd5e9842d319,2013-08-21 22:44:58,2013-08-21 22:44:58,2013-08-03 06:17:20,Don Corleone
SC1,e3e69168-af19-4ad0-a149-3fc9f99ece66,2016-12-06 09:56:11,2016-12-06 09:56:11,2016-11-15 09:42:28,Clarice Starling
SC1,8874e7d4-2ed6-4f6c-a711-69579137b21b,2018-04-20 08:12:23,2018-04-21 14:58:43,2018-04-17 02:58:19,Don Corleone
SC1,d7eefdaf-3cc8-49e3-9920-aff46e6da08d,2018-06-09 09:31:28,2018-06-15 13:30:50,2018-05-20 08:38:49,Marty McFly
SC1,1ee063d2-d42f-491a-8d66-9731a92dc15f,2014-11-17 06:08:11,2014-11-17 06:08:11,2014-10-29 09:15:45,Tyler Durden
SC1,48a133ed-aaae-425d-b0a7-ff0b75098c34,2013-06-06 16:04:56,2013-06-06 16:04:56,2013-06-01 23:38:52,Tony Stark
SC1,9c9ffbe0-4016-4dc4-9d09-3f70ef3c963f,2009-05-30 08:16:48,2009-05-30 08:16:48,2009-05-13 05:50:53,Tony Stark
SC1,aa44d1d5-ce43-4e9a-8e5a-f2be6dc71f0e,2013-12-23 19:41:29,2013-12-31 01:45:50,2013-11-23 05:49:10,Tyler Durden
SC1,7ad7846d-0b2b-464f-892a-b6dadc392418,2013-11-07 14:39:04,2013-11-10 02:40:42,2013-10-24 20:59:51,Indiana Jones
SC1,4f0cffe3-342f-419b-8caa-1226da274dd0,2016-04-24 20:30:48,2016-04-28 16:34:11,2016-03-28 16:14:00,Indiana Jones
SC1,a64694bd-43e0-47bd-9ce1-ee5a4c597c01,2015-01-30 07:48:33,2015-01-30 07:48:33,2015-01-23 17:20:07,Darth Vader
SC1,75b29e2f-13cc-4cd7-b4c5-f2ce4a53aff8,2012-08-24 22:23:50,2012-08-24 22:23:50,2012-07-25 19:24:25,Leia Organa
SC1,e73b7909-b448-422d-8996-aa17f80fce48,2018-02-05 14:24:09,2018-02-05 14:24:09,2018-02-03 23:50:59,Ethan Hunt
SC1,f6401fcc-be17-4d82-a978-266ec7a6a75d,2016-08-18 12:09:48,2016-08-18 12:09:48,2016-08-13 12:08:25,John Wick
SC1,2e6e9f83-d7ba-4a55-a6ab-b82e643f96c7,2018-08-18 11:01:44,2018-08-18 11:01:44,2018-07-21 11:26:25,Jon Snow
SC1,7d208cc2-a2df-47db-997a-e2f489d83a7c,2017-05-29 18:23:35,2017-05-29 18:23:35,2017-05-04 09:27:28,Marty McFly
SC1,9f577369-4ca8-4042-a0e8-e2c4f915813c,2014-06-20 05:36:27,2014-06-20 05:36:27,2014-05-23 16:42:11,Indiana Jones
SC1,0575aff9-e495-4e5c-b1ac-e934713f2380,2012-05-27 05:14:37,2012-05-27 05:14:37,2012-04-27 14:27:11,Indiana Jones
SC1,37de4d32-2abe-4db7-a3fd-bfe7d86f4721,2016-09-04 18:25:45,2016-09-10 15:10:57,2016-08-05 23:07:31,Leia Organa
SC1,ed9eab60-a0c4-45d9-a6f0-4dfa68e3b791,2014-06-27 09:06:26,2014-06-27 09:06:26,2014-06-19 17:44:25,Michael Corleone
SC1,f11d0d3b-eecb-4781-b89c-db1db25dd889,2017-01-18 03:39:03,2017-01-22 13:41:03,2016-12-23 20:34:49,Marty McFly
SC1,3a8fb7a4-69e4-4bd8-8616-4de9cf2d933a,2017-05-23 15:05:08,2017-05-23 15:05:08,2017-05-20 00:18:23,Atticus Finch
SC1,da42e4b6-94be-47bb-b5b1-a1f473596abe,2012-08-22 22:11:18,2012-08-24 11:10:50,2012-08-14 21:12:24,Sheldon Cooper
SC1,7cc52dd2-5379-431c-b424-957aba0bfd12,2017-01-24 13:53:53,2017-01-24 13:53:53,2017-01-07 16:17:34,Marty McFly
SC1,19411ada-a8d3-483a-8fca-025774e12bb3,2011-03-07 23:08:59,2011-03-14 12:31:37,2011-02-15 22:30:45,Darth Vader
SC1,73bb9a42-dabc-464b-ab5b-421bb0910430,2017-04-03 05:09:04,2017-04-03 05:09:04,2017-03-12 17:59:20,Rick Blaine
SC1,eb0b8ba9-dde6-4442-bd5a-694a4e431357,2014-12-01 05:42:03,2014-12-01 05:42:03,2014-11-27 16:30:59,Harry Potter
SC1,738c2283-c157-47ef-a89f-ce42061387eb,2012-02-04 00:33:08,2012-02-04 00:33:08,2012-01-17 23:08:57,Travis Bickle
SC1,e43cac17-f707-4590-ab3c-873e442dd8a7,2012-06-27 04:02:27,2012-06-27 04:02:27,2012-06-24 14:05:47,Ethan Hunt
SC1,13ce22a0-bbda-41c2-8703-bc0e1126e0c8,2015-06-03 06:51:41,2015-06-03 06:51:41,2015-05-28 11:23:07,Walter White
SC1,bb10d277-8700-4d09-be78-d6bd6989573b,2010-02-12 21:32:26,2010-02-12 21:32:26,2010-01-26 18:50:37,Ferris Bueller
SC1,57e28fd6-bbce-42ef-84b0-0401d77ff910,2014-12-19 23:44:56,2014-12-21 12:40:10,2014-12-11 23:36:56,John Wick
SC1,8ef231a4-ddbb-4b7c-9b98-b1433b981117,2014-12-04 10:27:04,2014-12-04 10:27:04,2014-11-23 17:35:58,James Bond
SC1,e5293dc2-6ab4-4f13-a117-7b4a98dca44d,2017-02-01 14:45:27,2017-02-01 14:45:27,2017-01-21 13:36:04,Ethan Hunt
SC1,2eee681e-24e6-48de-baf1-966645a92aea,2010-07-25 00:34:28,2010-07-25 00:34:28,2010-07-11 12:29:19,Robert Axelrod
SC1,286b9e99-7e57-48f9-8ff5-b7ea4db60477,2010-11-07 19:23:41,2010-11-07 19:23:41,2010-11-02 01:56:42,Vito Corleone
SC1,2bb6615c-679e-4943-bd48-44feb2c241bd,2017-07-22 15:28:30,2017-07-28 14:01:02,2017-06-23 20:37:41,Tony Montana
SC1,f0c9ce63-fab4-4904-ab4b-b9b0c1f407ef,2016-04-05 10:39:00,2016-04-11 08:42:41,2016-03-21 06:43:47,Ethan Hunt
SC1,d4611fba-e6c0-4f69-ae53-731c5881bb6c,2011-03-03 14:20:54,2011-03-07 17:50:11,2011-02-25 14:06:43,Daenerys Targaryen
SC1,0651eaff-34bc-4878-acdf-c3d0515d2d89,2013-07-27 12:32:56,2013-07-29 06:26:11,2013-07-12 00:28:30,Atticus Finch
SC1,d6fc481a-e022-4b86-ac8a-def78ddd0067,2016-10-08 13:02:51,2016-10-08 13:02:51,2016-09-15 09:50:28,Jack Sparrow
SC1,d65a7458-b6f5-4e16-9787-d944ff1200d5,2010-10-30 19:42:47,2010-11-01 21:33:11,2010-10-12 00:50:07,Harry Potter
SC1,49b16ffc-c8ef-4cf6-92ea-b9c316b3315f,2014-04-10 15:48:04,2014-04-10 15:48:04,2014-04-04 00:56:36,Hannibal Lecter
SC1,14d6bcd5-072f-4f77-b1ea-20505d092397,2016-12-23 18:52:10,2016-12-23 18:52:10,2016-12-14 08:38:32,Katniss Everdeen
SC1,d3987960-1e45-4622-b3d7-25f6700ce6e9,2017-07-22 06:58:20,2017-07-22 06:58:20,2017-07-18 07:12:07,Tony Montana
SC1,2fed7ce6-d422-4ad3-ad82-3531c51f19ba,2016-06-05 09:52:21,2016-06-05 09:52:21,2016-05-28 20:09:49,Jack Dawson
SC1,aeb243d5-caa2-4da3-8cf6-b0ceb04bc17f,2013-02-16 18:09:35,2013-02-20 15:24:46,2013-01-24 16:25:17,Walter White
SC1,5d28a980-4781-4750-898a-b325657aa563,2016-07-10 22:29:47,2016-07-10 22:29:47,2016-06-11 06:49:57,Rick Blaine
SC1,f5a97342-142a-426a-88d9-e403df05a105,2009-06-17 21:00:44,2009-06-25 05:52:06,2009-06-15 19:46:19,Frodo Baggins
SC1,778ceb9b-eb73-4179-91e2-d1df3fe6a5f8,2012-07-01 17:09:16,2012-07-01 17:09:16,2012-06-17 16:06:48,Indiana Jones
SC1,1d05be64-fbd9-45b5-9a6c-07a9ec2217ed,2017-03-15 02:20:43,2017-03-15 02:20:43,2017-03-12 09:02:27,Leia Organa
SC1,dccc0ddb-f503-4b80-a50c-71987d32c517,2011-07-29 08:31:30,2011-07-29 08:31:30,2011-06-29 08:16:30,Hermione Granger
SC1,3af17a61-be64-474a-8698-be32bb599241,2010-06-26 09:13:49,2010-06-26 09:13:49,2010-06-05 13:29:14,Atticus Finch
SC1,a3811355-376a-40b2-ac93-863cffe18b20,2010-03-28 01:15:24,2010-03-28 01:15:24,2010-03-26 20:24:49,Jason Bourne
SC1,cf9a2b53-d70a-402e-b9e1-7348d1e8d4bb,2012-11-12 23:21:40,2012-11-17 10:50:51,2012-10-17 10:45:13,Leia Organa
SC1,1d9d8eaa-2260-4f34-a56b-6ddd2fa054f8,2017-01-18 20:39:48,2017-01-18 20:39:48,2017-01-01 00:39:07,Harry Potter
SC1,72dc3c4f-35f4-43d2-869e-d5c137c41cf2,2016-01-19 12:56:28,2016-01-19 12:56:28,2016-01-15 15:39:00,Michael Corleone
SC1,10765d20-2f3a-4c5d-b9ee-8313863b3651,2019-08-03 23:50:24,2019-08-03 23:50:24,2019-07-04 05:57:25,Frodo Baggins
SC1,c0222ae9-424a-48db-b253-e0336b066a6d,2014-03-24 02:22:47,2014-03-24 02:22:47,2014-03-02 18:56:47,Tony Stark
SC1,461369fa-605e-492d-8742-40c45fb6d96b,2018-11-04 10:25:35,2018-11-06 04:46:32,2018-10-12 18:49:03,Norman Bates
SC1,693d1253-f70a-4f16-9a27-f945b2085abd,2011-01-17 15:01:56,2011-01-17 15:01:56,2011-01-12 18:38:57,Luke Skywalker
SC1,4fd72820-5bca-40e9-8fc6-4fe7fded9400,2011-06-13 17:12:45,2011-06-13 17:12:45,2011-06-02 15:12:44,Indiana Jones
SC1,39276e41-21cf-49ed-bbec-6737c671b22f,2019-12-25 13:29:37,2019-12-25 13:29:37,2019-12-09 12:08:42,Dorothy Gale
SC1,5ab5e34c-563c-4170-87d1-519a855e92d4,2017-01-18 13:13:26,2017-01-18 13:13:26,2016-12-28 21:52:12,Rick Blaine
SC1,2d6baaf7-041d-469e-97cd-d28fbf58950f,2014-10-31 03:26:19,2014-10-31 03:26:19,2014-10-21 13:43:24,Katniss Everdeen
SC1,5537af96-afd4-42ce-8e2a-60054740c6ff,2017-01-10 22:17:36,2017-01-10 22:17:36,2017-01-01 17:08:51,Marty McFly
SC1,f9da3369-c3c3-4ea7-a550-a627aed5b22d,2016-10-04 07:05:45,2016-10-04 07:05:45,2016-09-11 12:05:24,Atticus Finch
SC1,93f76319-de10-4a32-8efa-49604d2a2b1b,2009-08-21 18:55:45,2009-08-25 06:03:29,2009-07-23 10:59:01,Lara Croft
SC1,8be616b7-24a3-4d55-80c6-a3e5a9ada005,2016-10-17 08:12:06,2016-10-17 08:12:06,2016-10-08 04:13:13,Travis Bickle
SC1,80c04d48-dd0e-439e-92f3-feeae12ff9e5,2011-08-13 23:38:53,2011-08-15 21:24:14,2011-08-06 14:53:14,Luke Skywalker
SC1,6302e4f9-14b0-4b2a-ab01-1d7fad6f0e61,2017-02-11 07:59:09,2017-02-11 07:59:09,2017-02-03 19:39:05,Ethan Hunt
SC1,045a34e9-4305-4c81-99b8-087404a57920,2019-10-01 03:43:28,2019-10-08 14:52:18,2019-09-02 13:51:30,Sheldon Cooper
SC1,76b080bb-798e-4a89-ad0f-866993df6e17,2015-03-25 09:14:06,2015-03-25 09:14:06,2015-03-07 20:36:56,James Bond
SC1,0d43c9da-c2bf-40ab-808c-b0a4a43a960e,2018-02-23 14:48:05,2018-02-23 14:48:05,2018-02-06 11:21:25,Hannibal Lecter
SC1,b0adb8cf-18cf-4301-bcf3-4bc4737054d1,2019-01-26 19:19:54,2019-01-26 19:19:54,2019-01-25 11:44:06,Jason Bourne
SC1,96e82dcf-d68a-46fa-96fa-21a60b04148e,2011-06-08 10:41:54,2011-06-11 00:55:08,2011-05-13 19:30:38,Tony Stark
SC1,915654f7-7c9e-487a-a6d7-9dc7403bf235,2017-11-24 14:50:43,2017-11-24 14:50:43,2017-11-12 22:17:12,Jon Snow
SC1,4b3a5f9f-90f4-4144-a475-4d761ff0561c,2012-04-08 17:36:26,2012-04-08 17:36:26,2012-03-14 09:33:41,Tony Montana
SC1,68abbd6d-463a-45e6-a677-5b52b820feff,2014-03-27 13:48:22,2014-03-27 13:48:22,2014-03-13 07:44:11,Darth Vader
SC1,03ee676b-b3ad-48c7-8e18-49980c32fc4d,2009-12-24 04:57:53,2009-12-24 04:57:53,2009-11-23 20:34:14,John Wick
SC1,dfb787af-db6d-421b-9712-14ec077f7207,2011-09-01 07:44:25,2011-09-05 14:23:03,2011-08-07 19:40:04,Rick Blaine
SC1,661316cf-17e1-48a6-8e39-82e99ec9e264,2015-02-03 05:15:19,2015-02-03 05:15:19,2015-01-13 09:06:35,Forrest Gump
SC1,37d3b7b3-0822-4b39-85a2-c01d20a2e3fa,2013-10-06 04:07:42,2013-10-06 04:07:42,2013-09-19 06:18:39,James Bond
SC1,fc797532-9d19-49ab-805b-88631eda6b4c,2015-07-30 01:33:25,2015-07-30 01:33:25,2015-07-19 23:51:19,Norman Bates
SC1,51363c8a-a9f8-463c-8482-a944d426be18,2019-10-11 20:06:41,2019-10-11 20:06:41,2019-09-30 21:13:06,Harry Potter
SC1,314c9b5a-1043-45b4-9b9a-fd9ace97636e,2016-02-21 17:30:39,2016-02-21 17:30:39,2016-02-17 09:16:31,Hermione Granger
SC1,9d9407f4-6fb0-41cf-a502-8b78f623392f,2010-12-16 18:27:01,2010-12-16 18:27:01,2010-11-16 20:26:56,Darth Vader
SC1,1b928f99-a9b6-41e0-9219-44fa9ab1699f,2019-05-13 20:30:01,2019-05-20 22:18:07,2019-05-03 08:55:30,Katniss Everdeen
SC1,ae81e64d-36e0-4c8b-aab0-aa1fb455d47e,2010-10-25 14:52:56,2010-10-25 14:52:56,2010-10-03 22:17:55,Lara Croft
SC1,e4168da6-1e35-454d-b9df-1b13e96c2141,2020-01-01 09:18:22,2020-01-01 09:18:22,2019-12-16 03:09:48,Jon Snow
SC1,e4d022a0-fb10-48d9-abff-9e752e910151,2009-10-11 15:42:01,2009-10-11 15:42:01,2009-10-05 13:12:26,Dorothy Gale
SC1,e4d354f1-02e0-4a5f-bf75-7a11a1f80885,2017-08-17 15:39:53,2017-08-21 05:05:20,2017-07-18 23:56:10,Norman Bates
SC1,36ca2f60-9370-4c9b-a87a-4859e8fe3f2c,2016-02-20 03:35:16,2016-02-20 03:35:16,2016-01-31 01:14:21,Rick Blaine
SC1,4ce7169a-8b26-40b5-8738-3d6580e6b6d7,2014-11-02 14:09:48,2014-11-02 14:09:48,2014-10-07 18:58:18,Travis Bickle
SC1,1d22f357-6c73-41ec-8423-d23497e9532b,2014-05-15 01:56:03,2014-05-21 14:30:42,2014-04-15 23:49:19,Atticus Finch
SC1,74f93d4d-acbc-4322-963e-7f0b7c5dcbd5,2016-12-26 01:08:26,2016-12-26 01:08:26,2016-12-05 18:53:55,John Wick
SC1,e9cf610b-12ef-4995-bb2a-74c644efef41,2011-03-24 23:08:40,2011-03-30 02:32:59,2011-03-06 15:52:15,Clarice Starling
SC1,f4d226f8-3199-4f2e-a674-3208440349cb,2016-07-08 11:27:33,2016-07-10 07:48:47,2016-06-15 18:12:20,Jon Snow
SC1,20a0386f-eb98-42bb-a734-c8b62e09c882,2011-10-02 13:03:03,2011-10-02 13:03:03,2011-09-17 06:45:23,John Wick
SC1,b3bd21c5-65a0-42be-b309-c020b471e7d7,2015-05-27 02:38:04,2015-05-27 02:38:04,2015-05-16 07:58:56,Hannibal Lecter
SC1,439bd625-e85e-4c31-bafc-0db36def7ad8,2011-01-06 12:09:44,2011-01-06 12:09:44,2010-12-10 09:29:17,Ellen Ripley
SC1,ff0a52ee-6ea8-421c-9232-3b4abaee29ea,2011-06-18 16:29:57,2011-06-18 16:29:57,2011-06-16 15:18:41,Vito Corleone
SC1,ed61cfc9-c6c2-434c-ab6a-b72d4b74782f,2014-12-11 22:27:03,2014-12-11 22:27:03,2014-11-16 00:51:47,Clarice Starling
SC1,ce0aa040-f3c8-4e82-a99a-152b1b0eae5e,2012-11-12 13:42:12,2012-11-12 13:42:12,2012-10-29 06:14:05,Vito Corleone
SC1,0cdd6322-95bf-49ca-b07f-d934a8c9f358,2015-03-26 09:55:53,2015-03-26 09:55:53,2015-02-25 05:37:04,Frodo Baggins
SC1,42973f71-6727-45b8-b6d5-b4f71f05a5be,2016-03-24 02:53:39,2016-03-24 02:53:39,2016-03-22 11:12:16,Leia Organa
SC1,4a54b79b-fc9e-4ea1-bade-07e30f045316,2016-09-15 02:27:26,2016-09-19 05:55:01,2016-08-25 11:39:37,Frodo Baggins
SC1,9dca7cce-535b-461e-b8be-8f8299d76cab,2010-11-01 22:31:36,2010-11-01 22:31:36,2010-10-22 17:17:37,Don Corleone
SC1,d1a2db94-0373-44b1-bf4b-631f8fc342c4,2010-07-24 01:33:04,2010-07-24 01:33:04,2010-07-08 16:26:31,John Wick
SC1,d3d68c42-cf8a-44e4-a135-50802070180e,2012-12-07 14:34:15,2012-12-07 14:34:15,2012-11-09 03:10:50,Rocky Balboa
SC1,ea038c02-20d1-4fbf-bc86-af0d46c8e788,2016-01-11 01:39:14,2016-01-11 01:39:14,2015-12-23 06:07:56,Atticus Finch
SC1,c11c88bf-2a90-4fdd-a527-c20c0a94c08d,2019-02-02 19:49:23,2019-02-02 19:49:23,2019-01-12 03:49:17,Lara Croft
SC1,fdb9646f-18f7-4f41-a558-698c502edd1d,2011-06-02 21:18:16,2011-06-10 15:54:55,2011-05-07 07:41:21,Hannibal Lecter
SC1,57a993a3-cfc4-4d79-8173-5739d77a71e0,2014-11-26 02:51:07,2014-11-26 02:51:07,2014-11-07 12:21:36,Jack Dawson
SC1,8b0d3565-aa20-4e7c-b92b-6244dba6334b,2011-07-15 10:59:08,2011-07-15 10:59:08,2011-07-06 05:01:45,Michael Corleone
SC1,a2578dc7-66b0-4273-a2f4-7861fa3cef10,2014-11-24 23:37:14,2014-11-24 23:37:14,2014-10-28 22:49:45,Vito Corleone
SC1,bfca5c35-6c35-457c-a9ac-22cc82a5e96a,2009-09-14 19:20:04,2009-09-17 03:42:32,2009-09-01 18:46:08,Dorothy Gale
SC1,f3b9c89d-ff99-4d80-b6c0-161384fe26d6,2019-12-08 11:53:48,2019-12-08 11:53:48,2019-11-17 19:35:03,Ethan Hunt
SC1,c22dc670-de93-42fb-a6ff-3098240065e0,2012-10-11 16:44:45,2012-10-11 16:44:45,2012-09-10 23:25:51,Indiana Jones
SC1,b011296f-475d-4bd1-8cf9-5e64023167da,2017-11-29 21:36:40,2017-12-04 00:13:22,2017-11-19 10:21:57,Daenerys Targaryen
SC1,233a50fa-66bc-4ae7-8e65-7398b4ebf9dd,2017-03-22 05:19:04,2017-03-23 15:05:22,2017-03-09 10:54:18,Darth Vader
SC1,4f2e080e-60bb-46fb-980c-47d7e00a8093,2017-05-09 05:56:53,2017-05-09 05:56:53,2017-04-10 19:19:07,Atticus Finch
SC1,602b4416-db4b-40fc-bf27-0a08f6a44248,2010-03-02 13:15:38,2010-03-09 14:37:28,2010-02-13 12:47:40,Harry Potter
SC1,1681606f-c16d-40db-a210-75d9a3bd85c3,2013-04-09 20:49:51,2013-04-09 20:49:51,2013-04-04 02:46:30,Ellen Ripley
SC1,858a54a5-3687-4c96-a14e-f4725409d1a7,2009-12-20 13:51:39,2009-12-23 08:47:54,2009-12-04 03:31:18,Ethan Hunt
SC1,09f6bd04-cc21-4e7d-8f79-7ddfc2449462,2012-12-31 21:15:45,2012-12-31 21:15:45,2012-12-19 10:19:40,Norman Bates
SC1,96425be6-3f34-4381-8c6a-933106a85938,2017-04-20 20:08:44,2017-04-20 20:08:44,2017-03-31 03:39:42,Atticus Finch
SC1,4de8e037-49c4-4328-8312-c9ac84a8dfef,2014-08-19 08:22:10,2014-08-19 08:22:10,2014-08-14 06:16:52,Norman Bates
SC1,69dc18df-5f0d-4e4a-97bd-2e4d9526a4cd,2019-05-20 00:25:47,2019-05-28 00:13:38,2019-05-05 08:41:06,Daenerys Targaryen
SC1,af84cded-81d5-4b14-80f1-1e0c615bc0ab,2016-05-03 03:54:07,2016-05-07 07:55:46,2016-04-07 04:43:25,Norman Bates
SC1,ed2b1c3e-3d0a-47fa-a02f-f954e5df7881,2014-10-30 10:59:04,2014-10-30 10:59:04,2014-10-19 05:11:44,Marty McFly
SC1,37288561-2b25-4391-a79a-56e18e371f03,2018-12-27 06:53:54,2018-12-27 06:53:54,2018-12-02 03:27:17,Indiana Jones
SC1,05c2e6b4-bec6-4f92-8336-42ceb86716b2,2012-08-16 04:38:56,2012-08-16 04:38:56,2012-07-24 09:59:37,Indiana Jones
SC1,e0e3da2d-1176-4795-beb3-3063ed7a6589,2015-06-05 08:38:48,2015-06-05 08:38:48,2015-05-29 22:55:33,Rocky Balboa
SC1,05c81908-48d8-443c-9153-cccd884ee333,2019-12-15 00:15:52,2019-12-15 00:15:52,2019-11-15 15:36:30,Robert Axelrod
SC1,29f0e82b-bd69-40f2-b388-3562133bbdad,2017-09-07 04:18:02,2017-09-07 04:18:02,2017-08-07 10:19:48,Frodo Baggins
SC1,82621246-42cf-41b9-85f5-f4c117ee0c78,2012-04-24 02:56:47,2012-04-24 02:56:47,2012-04-14 02:17:20,Tony Montana
SC1,73941d79-548e-4c1f-8335-acc502874743,2011-08-29 18:38:22,2011-08-29 18:38:22,2011-08-12 01:31:41,Holly Golightly
SC1,b0f67b25-197f-4a37-93aa-9f22f3401416,2015-12-15 20:31:06,2015-12-15 20:31:06,2015-12-01 01:33:56,Tony Stark
SC1,d142bdf2-8029-47c0-92a4-e2349cfe9cb3,2017-09-09 09:40:44,2017-09-09 09:40:44,2017-08-12 03:16:22,Lara Croft
SC1,6fb243d4-d32f-4ff7-97c8-b884a0218fb7,2013-07-27 10:11:35,2013-08-02 06:08:55,2013-07-18 11:42:32,Norman Bates
SC1,c37a4a40-5d02-44a5-a391-5d15b02958bd,2013-02-18 03:38:38,2013-02-18 03:38:38,2013-01-31 20:48:45,Hannibal Lecter
SC1,089107ea-45fe-4e13-b258-908460284bda,2013-01-07 11:53:01,2013-01-07 11:53:01,2013-01-05 14:32:39,Don Corleone
